لايوجد,لا يوجد
ااختصاص,اختصاص
اانتائج,النتائج
اتهى,انتهى
اجتياو,اجتياز
ال1ي,الذي
الاإثنين,الاثنين
الاإشعار,الإشعار
الاإعلان,الإعلان
الاتثال,الاتصال
الامتحانت,الامتحانات
الامنتظار,الانتظار
الايميلات,الايميل
الإازة,الإجازة
الإجراءت,الاجراءات
الإسفسارات,الإستفسارات
الإعداية,الإعدادية
الإعلانن,الاعلان
الإيميل,الايميل
البدأ,البدء
البرنامجالذي,البرنامج الذي
التجامعي,الجامعي
التجيل,التسجيل
التسجل,التسجيل
التسجيا,التسجيل
التسديل,التسديد
التسيل,التسجيل
التفاضيل,التفاصيل
التوواصل,التواصل
الثاتي,الثاني
الثالة,الثالثة
الثالثالقادم,الثالث القادم
الجقوق,الحقوق
الحاسب,الحاسوب
الحصلة,الحاصلة
الخاث,الخاص
الداسة,الدراسة
الذس,الذي
الراط,الرابط
الربنامج,البرنامج
الزملء,الزملاء
الزملاؤ,الزملاء
الزيزة,العزيزة
السايق,السابق
الشغط,الضغط
الطلوبة,المطلوبة
الفبول,القبول
الكترنيا,الكترونيا
الماضلة,المفاضلة
المبلة,المقبلة
المةقع,الموقع
المتابة,المتابعة
المتوفقين,المتفوقين
المجود,الموجود
المجود,الموجودة
المجودة,الموجودة
المزاعيد,المواعيد
المطلوية,المطلوبة
المفاضة,المفاضلة
المقاضلة,المفاضلة
المقبة,المقبلة
المكوجود,الموجود
الممفاضلة,المفاضلة
الموعدعند,الموعد عند
الموقغ,الموقع
النفاضلة,المفاضلة
النواصل,التواصل
الواصل,التواصل
الوثبقة,الوثيقة
إرسالهل,إرسالها
إعطائ,إعطاء
إعفائ,إعفاء
إمااذا,اما اذا
إيميل,الايميل
ألمانبا,ألمانيا
أماداخل,أما داخل
بالايميل,في الايميل
بالإجازو,الإجازة
بالإجازو,في الاجازة
بالتفصبل,بالتفصيل
بالجامة,في الجامعة
بالحسكة,في الحسكة
بالرابط,على الرابط
بالرابط,في الرابط
بالماستر,في الماجستير
بالنفصيل,بالتفصيل
بالهشر,بالشهر
ببرناج,في برنامج
ببرنامج,في برنامج
ببيرنامج,في برنامج
ببيروت,في بيروت
بتتم,لتتم
بجال,في حال
بجلمعة,في جامعة
بحال,في حال
بحاللم,في حال لم
بحاللم,في حال
بدمشق,في دمشق
برجى,يرجى
بغمكانك,في امكانك
بغمكانك,يمكنك
بكلوريا,بكالوريا
بلإحضار,بإحضار
بمكنك,يمكن
بمكنك,يمكنك
بهاية,في نهاية
بهاية,بنهاية
بيرنامج,في برنامج
ةالمقبلة,المقبلة
تحديدالمشكلة,تحديد المشكلة
تختصاص,اختصاص
تدقسق,تدقيق
تسبيم,تسليم
تقاتة,تقانة
تقنات,تقانات
تكن,تكون
تلسيمهم,تسليمهم
تمكنتي,تمكنت
تنويل,تنزيل
ثسم,قسم
جامعةة,جامعة
حالبا,حاليا
حاولي,حاول
حسلبك,حسابك
دميع,جميع
ذللك,ذلك
ستسجيل,التسجيل
شخصيك,شخصية
شكرا لكم,شكرا  لكم
شؤوون,شؤون
شيئ,شيء
صفخة,صفحة
صقحة,صفحة
صورةعن,صورة عن 
ضن,ضمن
طؤيق,طريق
علىالمفاضلة,على المفاضلة
عليكي,عليك
غجرائية,اجرائية
غلإطلاع,الاطلاع
غيرمقبولة,غير مقبولة
فيإحدى,في احدى
قبوللك,قبولك
كزنها,كونها
كسف,كشف
لايميل,الايميل
لايوجد,لا يوجد
لبرنامج,البرنامج
لتسطيع,حتى تستطيع
لتقدييم,لتقديم
لزملاء,الزملاء
لسادة,السادة
للإجاية,الاجابة
للإجاية,للإجابة
للتسجبل,للتسجيل
للتم,لتتم
للمنسق,الى المنسق
لماذ,لماذا
لمتلبعة,متابعة
لمنسق,الى منسق
لمؤكز,لمركز
لنسق,الى منسق
مابعة,متابعة
ماستر,ماجستير
ماودة,معاودة
متالعة,متابعة
مجود,موجود
مجودة,موجودة
مدريرية,مديرية
مراطز,مراكز
مرفقمع,مرفق مع
مرفقمع,موفق مع 
مساالخير,مساء الخير
مسالخير,مساء الخير
مشروحة,تم شرحها
مععدلات,معدلات
مععرفة,معرفة
مفوح,مفتوح
مهعدك,معدلك
مو قع,موقع
مواقعالسوشال,مواقع السوشال
نقريبي,تقريبي
نهايةالأسبوع,نهاية الأسبوع
والاختبار,و الاختبار
والايلتس,و الايلتس
والايميل,و الايميل
والأكاديمي,و الأكاديمي
والتعديل,و التعديل
والرابط,و الرابط
والقامشلي,و القامشلي
والماجستيرات,و الماجستيرات
وبركاته,و بركاته
وبعد,و بعد
وتفاصيل,و تفاصيل
ورحمه,و رحمه
وشكرا,و شكرا
وعلى,و على
وقد,و قد
وكيفية,و كيفية
ولاحقا,و لاحقا
ولكم,و لكم
وليس,و ليس
ومشروحة,و تم شرحها
ومعترفف,و معترف
ووزارة,و وزارة
ويتم,و يتم
ويمكن,و يمكن
يالأوراق,في الاوراق
يالتسجيل,بالتسجيل
يالدراسة,بالدراسة
يالشهر,في الشهر
يتقديم,في تقديم
يج إجراء,يجب إجراء
يجي متابعة,يرجى متابعة
يرجىى,يرجى
يمكم,يمكن
يهذا,بهذا
يوزارة,في وزارة
ووبعدها,و بعدها